/usr/bin/java  -classpath /users/entall/ycsb_client/conf:/users/entall/ycsb_client/lib/HdrHistogram-2.1.12.jar:/users/entall/ycsb_client/lib/core-0.18.0-SNAPSHOT.jar:/users/entall/ycsb_client/lib/htrace-core4-4.1.0-incubating.jar:/users/entall/ycsb_client/lib/jackson-core-asl-1.9.4.jar:/users/entall/ycsb_client/lib/jackson-mapper-asl-1.9.4.jar:/users/entall/ycsb_client/redis-binding/lib/commons-pool2-2.4.2.jar:/users/entall/ycsb_client/redis-binding/lib/jedis-2.9.0.jar:/users/entall/ycsb_client/redis-binding/lib/redis-binding-0.18.0-SNAPSHOT.jar site.ycsb.Client -t -db site.ycsb.db.RedisClient -p redis.host=redis0 -p redis.port=8000 -p redis.cluster=true -P /users/entall/rd/workloads/workloada -p status.interval=1 -s -p measurementtype=timeseries -p redis.timeout=10000 -threads 50
Command line: -t -db site.ycsb.db.RedisClient -p redis.host=redis0 -p redis.port=8000 -p redis.cluster=true -P /users/entall/rd/workloads/workloada -p status.interval=1 -s -p measurementtype=timeseries -p redis.timeout=10000 -threads 50
YCSB Client 0.18.0-SNAPSHOT

Loading workload...
Starting test.
2026-05-23 15:46:21:580 0 sec: 0 operations; est completion in 0 second 
2026-05-23 15:46:21:580 0 sec: 0 operations; est completion in 0 second 
DBWrapper: report latency for each error is false and specific error codes to track for latency are: []
2026-05-23 15:46:22:537 1 sec: 16900 operations; 16900 current ops/sec; est completion in 39 minutes [READ AverageLatency(us)=480.78] [UPDATE AverageLatency(us)=507.01] 
2026-05-23 15:46:22:537 1 sec: 16900 operations; 16900 current ops/sec; est completion in 39 minutes [READ AverageLatency(us)=480.78] [UPDATE AverageLatency(us)=507.01] 
2026-05-23 15:46:23:537 2 sec: 184890 operations; 167990 current ops/sec; est completion in 7 minutes [READ AverageLatency(us)=291.83] [UPDATE AverageLatency(us)=293.85] 
2026-05-23 15:46:23:537 2 sec: 184890 operations; 167990 current ops/sec; est completion in 7 minutes [READ AverageLatency(us)=291.83] [UPDATE AverageLatency(us)=293.85] 
2026-05-23 15:46:24:537 3 sec: 340960 operations; 156070 current ops/sec; est completion in 5 minutes [READ AverageLatency(us)=314.31] [UPDATE AverageLatency(us)=316.45] 
2026-05-23 15:46:24:537 3 sec: 340960 operations; 156070 current ops/sec; est completion in 5 minutes [READ AverageLatency(us)=314.31] [UPDATE AverageLatency(us)=316.45] 
2026-05-23 15:46:25:537 4 sec: 512936 operations; 171976 current ops/sec; est completion in 5 minutes [READ AverageLatency(us)=286.02] [UPDATE AverageLatency(us)=287.45] 
2026-05-23 15:46:25:537 4 sec: 512936 operations; 171976 current ops/sec; est completion in 5 minutes [READ AverageLatency(us)=286.02] [UPDATE AverageLatency(us)=287.45] 
2026-05-23 15:46:26:537 5 sec: 684775 operations; 171839 current ops/sec; est completion in 4 minutes [READ AverageLatency(us)=284.78] [UPDATE AverageLatency(us)=289.02] 
2026-05-23 15:46:26:537 5 sec: 684775 operations; 171839 current ops/sec; est completion in 4 minutes [READ AverageLatency(us)=284.78] [UPDATE AverageLatency(us)=289.02] 
2026-05-23 15:46:27:537 6 sec: 855330 operations; 170555 current ops/sec; est completion in 4 minutes [READ AverageLatency(us)=288.23] [UPDATE AverageLatency(us)=289.89] 
2026-05-23 15:46:27:537 6 sec: 855330 operations; 170555 current ops/sec; est completion in 4 minutes [READ AverageLatency(us)=288.23] [UPDATE AverageLatency(us)=289.89] 
2026-05-23 15:46:28:537 7 sec: 1027195 operations; 171865 current ops/sec; est completion in 4 minutes [READ AverageLatency(us)=285.54] [UPDATE AverageLatency(us)=288.29] 
2026-05-23 15:46:28:537 7 sec: 1027195 operations; 171865 current ops/sec; est completion in 4 minutes [READ AverageLatency(us)=285.54] [UPDATE AverageLatency(us)=288.29] 
2026-05-23 15:46:29:537 8 sec: 1200017 operations; 172822 current ops/sec; est completion in 4 minutes [READ AverageLatency(us)=284.34] [UPDATE AverageLatency(us)=286.69] 
2026-05-23 15:46:29:537 8 sec: 1200017 operations; 172822 current ops/sec; est completion in 4 minutes [READ AverageLatency(us)=284.34] [UPDATE AverageLatency(us)=286.69] 
2026-05-23 15:46:30:537 9 sec: 1372123 operations; 172106 current ops/sec; est completion in 4 minutes [READ AverageLatency(us)=284.96] [UPDATE AverageLatency(us)=287.9] 
2026-05-23 15:46:30:537 9 sec: 1372123 operations; 172106 current ops/sec; est completion in 4 minutes [READ AverageLatency(us)=284.96] [UPDATE AverageLatency(us)=287.9] 
2026-05-23 15:46:31:537 10 sec: 1543385 operations; 171262 current ops/sec; est completion in 4 minutes [READ AverageLatency(us)=286.71] [UPDATE AverageLatency(us)=289.28] 
2026-05-23 15:46:31:537 10 sec: 1543385 operations; 171262 current ops/sec; est completion in 4 minutes [READ AverageLatency(us)=286.71] [UPDATE AverageLatency(us)=289.28] 
2026-05-23 15:46:32:537 11 sec: 1716255 operations; 172870 current ops/sec; est completion in 4 minutes [READ AverageLatency(us)=284.59] [UPDATE AverageLatency(us)=286.67] 
2026-05-23 15:46:32:537 11 sec: 1716255 operations; 172870 current ops/sec; est completion in 4 minutes [READ AverageLatency(us)=284.59] [UPDATE AverageLatency(us)=286.67] 
2026-05-23 15:46:33:537 12 sec: 1875437 operations; 159182 current ops/sec; est completion in 4 minutes [READ AverageLatency(us)=308.58] [UPDATE AverageLatency(us)=311.9] 
2026-05-23 15:46:33:537 12 sec: 1875437 operations; 159182 current ops/sec; est completion in 4 minutes [READ AverageLatency(us)=308.58] [UPDATE AverageLatency(us)=311.9] 
2026-05-23 15:46:34:537 13 sec: 2045694 operations; 170257 current ops/sec; est completion in 4 minutes [READ AverageLatency(us)=287.16] [UPDATE AverageLatency(us)=293.17] [READ-FAILED AverageLatency(us)=902.33] 
2026-05-23 15:46:34:537 13 sec: 2045694 operations; 170257 current ops/sec; est completion in 4 minutes [READ AverageLatency(us)=287.16] [UPDATE AverageLatency(us)=293.17] [READ-FAILED AverageLatency(us)=902.33] 
2026-05-23 15:46:35:537 14 sec: 2211276 operations; 165582 current ops/sec; est completion in 4 minutes [READ AverageLatency(us)=282.37] [UPDATE AverageLatency(us)=315.35] [READ-FAILED AverageLatency(us)=321.55] 
2026-05-23 15:46:35:537 14 sec: 2211276 operations; 165582 current ops/sec; est completion in 4 minutes [READ AverageLatency(us)=282.37] [UPDATE AverageLatency(us)=315.35] [READ-FAILED AverageLatency(us)=321.55] 
2026-05-23 15:46:36:537 15 sec: 2380051 operations; 168775 current ops/sec; est completion in 3 minutes [READ AverageLatency(us)=285.88] [UPDATE AverageLatency(us)=299.53] [READ-FAILED AverageLatency(us)=351.27] 
2026-05-23 15:46:36:537 15 sec: 2380051 operations; 168775 current ops/sec; est completion in 3 minutes [READ AverageLatency(us)=285.88] [UPDATE AverageLatency(us)=299.53] [READ-FAILED AverageLatency(us)=351.27] 
2026-05-23 15:46:37:537 16 sec: 2554082 operations; 174031 current ops/sec; est completion in 3 minutes [READ AverageLatency(us)=283.36] [UPDATE AverageLatency(us)=285.99] [READ-FAILED AverageLatency(us)=201.96] 
2026-05-23 15:46:37:537 16 sec: 2554082 operations; 174031 current ops/sec; est completion in 3 minutes [READ AverageLatency(us)=283.36] [UPDATE AverageLatency(us)=285.99] [READ-FAILED AverageLatency(us)=201.96] 
2026-05-23 15:46:38:537 17 sec: 2725802 operations; 171720 current ops/sec; est completion in 3 minutes [READ AverageLatency(us)=287.96] [UPDATE AverageLatency(us)=289.37] [READ-FAILED AverageLatency(us)=188.16] 
2026-05-23 15:46:38:537 17 sec: 2725802 operations; 171720 current ops/sec; est completion in 3 minutes [READ AverageLatency(us)=287.96] [UPDATE AverageLatency(us)=289.37] [READ-FAILED AverageLatency(us)=188.16] 
2026-05-23 15:46:39:537 18 sec: 2897683 operations; 171881 current ops/sec; est completion in 3 minutes [READ AverageLatency(us)=288.69] [UPDATE AverageLatency(us)=288.27] [READ-FAILED AverageLatency(us)=174.81] 
2026-05-23 15:46:39:537 18 sec: 2897683 operations; 171881 current ops/sec; est completion in 3 minutes [READ AverageLatency(us)=288.69] [UPDATE AverageLatency(us)=288.27] [READ-FAILED AverageLatency(us)=174.81] 
2026-05-23 15:46:40:537 19 sec: 3069569 operations; 171886 current ops/sec; est completion in 3 minutes [READ AverageLatency(us)=288.31] [UPDATE AverageLatency(us)=288.15] [READ-FAILED AverageLatency(us)=176.9] 
2026-05-23 15:46:40:537 19 sec: 3069569 operations; 171886 current ops/sec; est completion in 3 minutes [READ AverageLatency(us)=288.31] [UPDATE AverageLatency(us)=288.15] [READ-FAILED AverageLatency(us)=176.9] 
