/usr/bin/java  -classpath /users/entall/ycsb_client/conf:/users/entall/ycsb_client/lib/HdrHistogram-2.1.12.jar:/users/entall/ycsb_client/lib/core-0.18.0-SNAPSHOT.jar:/users/entall/ycsb_client/lib/htrace-core4-4.1.0-incubating.jar:/users/entall/ycsb_client/lib/jackson-core-asl-1.9.4.jar:/users/entall/ycsb_client/lib/jackson-mapper-asl-1.9.4.jar:/users/entall/ycsb_client/redis-binding/lib/commons-pool2-2.4.2.jar:/users/entall/ycsb_client/redis-binding/lib/jedis-2.9.0.jar:/users/entall/ycsb_client/redis-binding/lib/redis-binding-0.18.0-SNAPSHOT.jar site.ycsb.Client -t -db site.ycsb.db.RedisClient -p redis.host=redis0 -p redis.port=8000 -p redis.cluster=true -P /users/entall/rd/workloads/workloada -p status.interval=1 -s -p measurementtype=timeseries -p redis.timeout=10000 -threads 50
Command line: -t -db site.ycsb.db.RedisClient -p redis.host=redis0 -p redis.port=8000 -p redis.cluster=true -P /users/entall/rd/workloads/workloada -p status.interval=1 -s -p measurementtype=timeseries -p redis.timeout=10000 -threads 50
YCSB Client 0.18.0-SNAPSHOT

Loading workload...
Starting test.
2026-05-23 16:00:19:009 0 sec: 0 operations; est completion in 0 second 
2026-05-23 16:00:19:009 0 sec: 0 operations; est completion in 0 second 
DBWrapper: report latency for each error is false and specific error codes to track for latency are: []
2026-05-23 16:00:19:976 1 sec: 37411 operations; 37373.63 current ops/sec; est completion in 17 minutes [READ AverageLatency(us)=480.01] [UPDATE AverageLatency(us)=491.55] 
2026-05-23 16:00:19:976 1 sec: 37411 operations; 37373.63 current ops/sec; est completion in 17 minutes [READ AverageLatency(us)=480.01] [UPDATE AverageLatency(us)=491.55] 
2026-05-23 16:00:20:976 2 sec: 213233 operations; 175998 current ops/sec; est completion in 6 minutes [READ AverageLatency(us)=279.79] [UPDATE AverageLatency(us)=288.49] 
2026-05-23 16:00:20:976 2 sec: 213233 operations; 175998 current ops/sec; est completion in 6 minutes [READ AverageLatency(us)=279.79] [UPDATE AverageLatency(us)=288.49] 
2026-05-23 16:00:21:976 3 sec: 377959 operations; 164726 current ops/sec; est completion in 5 minutes [READ AverageLatency(us)=297.59] [UPDATE AverageLatency(us)=308.89] 
2026-05-23 16:00:21:976 3 sec: 377959 operations; 164726 current ops/sec; est completion in 5 minutes [READ AverageLatency(us)=297.59] [UPDATE AverageLatency(us)=308.89] 
2026-05-23 16:00:22:976 4 sec: 553716 operations; 175757 current ops/sec; est completion in 4 minutes [READ AverageLatency(us)=559.06] [UPDATE AverageLatency(us)=284.85] 
2026-05-23 16:00:22:976 4 sec: 553716 operations; 175757 current ops/sec; est completion in 4 minutes [READ AverageLatency(us)=559.06] [UPDATE AverageLatency(us)=284.85] 
2026-05-23 16:00:23:976 5 sec: 738456 operations; 184740 current ops/sec; est completion in 4 minutes [READ AverageLatency(us)=266.62] [UPDATE AverageLatency(us)=270.87] 
2026-05-23 16:00:23:976 5 sec: 738456 operations; 184740 current ops/sec; est completion in 4 minutes [READ AverageLatency(us)=266.62] [UPDATE AverageLatency(us)=270.87] 
2026-05-23 16:00:24:976 6 sec: 918011 operations; 179555 current ops/sec; est completion in 4 minutes [READ AverageLatency(us)=274.75] [UPDATE AverageLatency(us)=275.19] 
2026-05-23 16:00:24:976 6 sec: 918011 operations; 179555 current ops/sec; est completion in 4 minutes [READ AverageLatency(us)=274.75] [UPDATE AverageLatency(us)=275.19] 
2026-05-23 16:00:25:976 7 sec: 1097249 operations; 179238 current ops/sec; est completion in 4 minutes [READ AverageLatency(us)=275.19] [UPDATE AverageLatency(us)=278.79] 
